id: 578742463818539008, text: RT @Dory: and here we see the leader of our nation greeting Barack Obama http://t.co/7hl2DegEOg
id: 578742474480324608, text: RT @PresidentRaps: Barack Obama singing popped a Molly http://t.co/u4JfF1LNgr
id: 578742481740664832, text: RT @PresidentRaps: Barack Obama singing shake it off by Taylor Swift. http://t.co/VIgPn960pW
id: 578742488216838145, text: Ahora los NARCO-FASCISTAS agarraron por decir \"BARACK HUSSEIN\" Obama haaaahahahaha.....Cu\u00e1l ser\u00e1 el objetivo, no lo s\u00e9.....!!!
id: 578742492608135169, text: RT @PresidentRaps: Barack Obama singing shake it off by Taylor Swift. http://t.co/VIgPn960pW
id: 578742497737863168, text: RT @PresidentRaps: Barack Obama singing popped a Molly http://t.co/u4JfF1LNgr
id: 578742500682256384, text: RT @PresidentRaps: Barack Obama singing shake it off by Taylor Swift. http://t.co/VIgPn960pW
id: 578742508961681408, text: RT @HiIarlous: Barack Obama singing shake it off by Taylor Swift. http://t.co/55Vm1QvlrG
id: 578742520613588992, text: \"@PresidentRaps: Barack Obama singing shake it off by Taylor Swift. http://t.co/viskOwSSnS\" @eliudm47
id: 578742527119003649, text: http://t.co/doUnCprLBz  Our #appeaserinchief.
id: 578742534022787073, text: RT @PresidentRaps: Barack Obama singing popped a Molly http://t.co/u4JfF1LNgr
id: 578742538644885504, text: RT @PresidentRaps: Barack Obama singing popped a Molly http://t.co/u4JfF1LNgr
id: 578742539177472000, text: \u201c@PresidentRaps: Barack Obama singing shake it off by Taylor Swift. http://t.co/PajsmGyEQf\u201dmy shii \ud83d\ude02
id: 578742541270450177, text: RT @HiIarlous: Barack Obama singing shake it off by Taylor Swift. http://t.co/55Vm1QvlrG
id: 578742546752401408, text: RT @PresidentRaps: Barack Obama singing popped a Molly http://t.co/u4JfF1LNgr
id: 578742553182339073, text: RT @HiIarlous: Barack Obama singing shake it off by Taylor Swift. http://t.co/55Vm1QvlrG
id: 578742556005150720, text: RT @PresidentRaps: Barack Obama singing shake it off by Taylor Swift. http://t.co/VIgPn960pW
id: 578742569993129984, text: RT @PresidentRaps: Barack Obama singing shake it off by Taylor Swift. http://t.co/VIgPn960pW
id: 578742571893149696, text: RT @reIatabIe: Barack Obama singing shake it off by Taylor Swift http://t.co/io2psoFJxd
id: 578742576888430592, text: RT @PresidentRaps: Barack Obama singing popped a Molly http://t.co/u4JfF1LNgr
id: 578742577815392256, text: Obama urges 'historic' Iran dealUS President Barack Obama tells the Iranian people a nuclear deal presents a rare ... http://t.co/ck2GJkyPda
id: 578742578469871616, text: RT @HiIarlous: Barack Obama singing shake it off by Taylor Swift. http://t.co/55Vm1QvlrG
id: 578742578599854081, text: President Barack Obama Meets With Prince Charles and Camilla, Jokes That Americans Like the Royal Family More Than U.S. Politicians Well, m\u2026
id: 578742580336287744, text: Barack Obama Singing Born This Way by Lady Gaga #ladygaga #mothermonster http://t.co/w4tuHEpTkv
id: 578742581653286912, text: Obama urges 'historic' Iran deal: US President Barack Obama tells the Iranian\u2026 http://t.co/Yzs3JLovq4 Top Story
id: 578742582181769216, text: Lanzan campa\u00f1a nacional que busca derogar el decreto firmado por Barack Obama - http://t.co/TnX1PBP7C3
id: 578742590448730112, text: RT @HiIarlous: Barack Obama singing shake it off by Taylor Swift. http://t.co/55Vm1QvlrG
id: 578742590931009538, text: and here we see the leader of our nation greeting Barack Obama http://t.co/W7CnszdQNt
id: 578742599256702976, text: RT @PresidentRaps: Barack Obama singing popped a Molly http://t.co/u4JfF1LNgr
id: 578742600951181312, text: RT @HiIarlous: Barack Obama singing shake it off by Taylor Swift. http://t.co/55Vm1QvlrG
id: 578742618684796928, text: RT @PresidentRaps: Barack Obama singing popped a Molly http://t.co/u4JfF1LNgr
id: 578742623025766400, text: RT @PresidentRaps: Barack Obama singing shake it off by Taylor Swift. http://t.co/VIgPn960pW
id: 578742625374748673, text: RT @CooITweetsHere: and here we see the leader of our nation greeting Barack Obama http://t.co/W7CnszdQNt
id: 578742630210744322, text: RT @PresidentRaps: Barack Obama singing popped a Molly http://t.co/u4JfF1LNgr
id: 578742634287669248, text: RT @PresidentRaps: Barack Obama singing shake it off by Taylor Swift. http://t.co/VIgPn960pW
id: 578742647143198720, text: RT @CooITweetsHere: and here we see the leader of our nation greeting Barack Obama http://t.co/W7CnszdQNt
id: 578742663815393281, text: RT @PresidentRaps: Barack Obama singing popped a Molly http://t.co/u4JfF1LNgr
id: 578742666856378369, text: RT @CooITweetsHere: and here we see the leader of our nation greeting Barack Obama http://t.co/W7CnszdQNt
id: 578742669159112704, text: RT @PresidentRaps: Barack Obama singing popped a Molly http://t.co/u4JfF1LNgr
id: 578742679539941376, text: RT @CooITweetsHere: and here we see the leader of our nation greeting Barack Obama http://t.co/W7CnszdQNt
id: 578742680210948096, text: RT @CooITweetsHere: and here we see the leader of our nation greeting Barack Obama http://t.co/W7CnszdQNt
id: 578742690516365312, text: RT @CooITweetsHere: and here we see the leader of our nation greeting Barack Obama http://t.co/W7CnszdQNt
id: 578742692638765056, text: RT @PresidentRaps: Barack Obama singing popped a Molly http://t.co/u4JfF1LNgr
id: 578742698300940288, text: RT @HiIarlous: Barack Obama singing shake it off by Taylor Swift. http://t.co/55Vm1QvlrG
id: 578742699265753090, text: RT @CooITweetsHere: and here we see the leader of our nation greeting Barack Obama http://t.co/W7CnszdQNt
id: 578742699429335040, text: RT @HiIarlous: Barack Obama singing shake it off by Taylor Swift. http://t.co/55Vm1QvlrG
id: 578742709650874368, text: RT @CooITweetsHere: and here we see the leader of our nation greeting Barack Obama http://t.co/W7CnszdQNt
id: 578742710443515905, text: RT @CooITweetsHere: and here we see the leader of our nation greeting Barack Obama http://t.co/W7CnszdQNt
id: 578742715606777858, text: RT @HiIarlous: Barack Obama singing shake it off by Taylor Swift. http://t.co/55Vm1QvlrG
id: 578742716290449408, text: RT @PresidentRaps: Barack Obama singing shake it off by Taylor Swift. http://t.co/VIgPn960pW
id: 578742720354729984, text: RT @YFRANGIE: \"EEUU no invadi\u00f3 ni masacr\u00f3 al pueblo de Afganistan, Iraq y Libia, se trata de una mala interpretaci\u00f3n\" Barack HDP Obama.
id: 578742724473520128, text: \u201c@PresidentRaps: Barack Obama singing popped a Molly http://t.co/hdOV5Ol3ID\u201d\ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude4f\ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02
id: 578742736272138240, text: RT @CooITweetsHere: and here we see the leader of our nation greeting Barack Obama http://t.co/W7CnszdQNt
id: 578742737907908609, text: RT @PresidentRaps: Barack Obama singing shake it off by Taylor Swift. http://t.co/VIgPn960pW
id: 578742739010879488, text: RT @PresidentRaps: Barack Obama singing popped a Molly http://t.co/u4JfF1LNgr
id: 578742739099058177, text: RT @HiIarlous: Barack Obama singing shake it off by Taylor Swift. http://t.co/55Vm1QvlrG
id: 578742741766660097, text: RT @HiIarlous: Barack Obama singing shake it off by Taylor Swift. http://t.co/55Vm1QvlrG
id: 578742749345816576, text: RT @CooITweetsHere: and here we see the leader of our nation greeting Barack Obama http://t.co/W7CnszdQNt
id: 578742762129981440, text: RT @HiIarlous: Barack Obama singing shake it off by Taylor Swift. http://t.co/55Vm1QvlrG
id: 578742762310348800, text: RT @PresidentRaps: Barack Obama singing shake it off by Taylor Swift. http://t.co/VIgPn960pW
id: 578742763006590976, text: RT @KevonDeBose1: \u201c@PresidentRaps: Barack Obama singing shake it off by Taylor Swift. http://t.co/PajsmGyEQf\u201dmy shii \ud83d\ude02
id: 578742763858083840, text: RT @HiIarlous: Barack Obama singing shake it off by Taylor Swift. http://t.co/55Vm1QvlrG
id: 578742770535260160, text: RT @TuneTalk: Just made our day \ud83d\ude02 \"@PresidentRaps: Barack Obama singing shake it off by Taylor Swift. http://t.co/hlhK7DWPL6\"
id: 578742776919130112, text: Robert Rodriguez prepar\u00f3 una pizza al presidente Barack Obama http://t.co/vSDXIcFrC2
id: 578742781021200384, text: RT @PresidentRaps: Barack Obama singing popped a Molly http://t.co/u4JfF1LNgr
id: 578742786347794432, text: RT @HiIarlous: Barack Obama singing shake it off by Taylor Swift. http://t.co/55Vm1QvlrG
id: 578742787090313216, text: President Barack Obama Hasn't Called Kanye http://t.co/C5MJhSfzLv #NetworkMarketer #Networking http://t.co/Dq0r3kbdLD
id: 578742796854652928, text: RT @PresidentRaps: Barack Obama singing popped a Molly http://t.co/u4JfF1LNgr
id: 578742797538226177, text: RT @PresidentRaps: Barack Obama singing popped a Molly http://t.co/u4JfF1LNgr
id: 578742800205762561, text: RT @PresidentRaps: Barack Obama singing shake it off by Taylor Swift. http://t.co/VIgPn960pW
id: 578742805633318912, text: RT @HiIarlous: Barack Obama singing shake it off by Taylor Swift. http://t.co/55Vm1QvlrG
id: 578742815343116288, text: RT @PresidentRaps: Barack Obama singing shake it off by Taylor Swift. http://t.co/VIgPn960pW
id: 578742818648231936, text: RT @PresidentRaps: Barack Obama singing shake it off by Taylor Swift. http://t.co/VIgPn960pW
id: 578742829607825408, text: RT @CooITweetsHere: and here we see the leader of our nation greeting Barack Obama http://t.co/W7CnszdQNt
id: 578742830446723072, text: RT @PresidentRaps: Barack Obama singing popped a Molly http://t.co/u4JfF1LNgr
id: 578742832082632705, text: RT @PresidentRaps: Barack Obama singing popped a Molly http://t.co/u4JfF1LNgr
id: 578742831814070273, text: RT @CooITweetsHere: and here we see the leader of our nation greeting Barack Obama http://t.co/W7CnszdQNt
id: 578742836222373889, text: RT @CooITweetsHere: and here we see the leader of our nation greeting Barack Obama http://t.co/W7CnszdQNt
id: 578742842585034752, text: \u201c@PresidentRaps: Barack Obama singing popped a Molly http://t.co/pPwGZEDOnT\u201d @Megan_Weisbarth @_Ruscitto
